"","COMID","FromNode","ToNode","AreSqKM","acm_resp","reach_lgt","reach_slp","river_lgt","river_slp","catch_area","wshd_area","reach_resp","logDA_km2","logw_m","length_m","d50m","order","doc_annual","do_annual","nitrates","res_time","hz_exchng","aer_resp","anb_resp","p_ant","p_frt","p_shb","p_ant_t","p_frt_t","p_shb_t","hl","hrl","ht","hrt"
"550",23100538,50019661,50019660,1.5534,2.865563533,1.964,0.02,107.08,0.018211,1.55,67.5,0.036872851,1.829326935,0.831234008,1964,0.000228356,3,2.465213973,10.03875489,2.386020109,6.55653997,-6.416687848,0.036187697,0.000685154,0.8111,0.007,0.1819,0.5516,2e-04,0.4482,0.514559839223934,0.468372550108424,0.689555547871011,0.627660508610354
"551",23100540,50019662,50019661,0.639,2.634122103,0.75,0.02,101.5,0.01803,0.64,63.5,0.045345891,1.802782616,0.817261374,750,0.000242849,3,2.420993195,10.07901965,2.659760093,6.442936954,-6.390405591,0.044562497,0.000783394,0.9028,0,0.0972,0.5282,0,0.4718,0.31888682245272,0.290263294650853,0.691555856276351,0.629481267786246
"552",23100542,50019663,50019662,0.0927,2.588776212,0.181,0.01,100.75,0.017965,0.09,62.86,0.68778336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7282,0,0.2718,0.5244,0,0.4756,0.585040953048606,0.532527224647991,0.691955987504472,0.62984548292588
"553",23100544,50019664,50019663,1.6542,1.652977807,1.959,0.03,97.9,0.017671,1.65,61.04,0.061512532,1.785613102,0.808223532,1959,0.000301098,3,2.399199312,10.13195364,3.253240638,6.244783049,-6.179338865,0.060500743,0.001011789,0.9499,0,0.0501,0.5111,0,0.4889,0.198809582047047,0.180964280208509,0.692900740315015,0.630705433993503
"554",23100546,50019665,50019664,0.1503,0.998646473,0.359,0.02,91.39,0.016632,0.15,57.44,0.017206421,1.759246942,0.794344678,359,0.000183228,3,2.241080282,10.1528156,4.504053236,6.665537876,-6.65130581,0.016973527,0.000232895,0.6707,0,0.3293,0.4937,0,0.5063,0.633681797677552,0.576802029445519,0.693067798459417,0.630857496869665
"555",23100548,50019666,50019665,0.1485,0.981440051,0.23,0.03,91.03,0.016478,0.15,57.29,0.054347848,1.758109144,0.793745754,230,0.000288812,3,2.220286937,10.15245842,4.625201739,6.248490755,-6.228780098,0.05362815,0.000719698,0.5273,0,0.4727,0.4932,0,0.5068,0.691655859065803,0.629572294247977,0.693054697708884,0.630845572052631
"556",23100550,50019667,50019666,1.9431,0.927092203,2.141,0.02,90.8,0.016189,1.94,57.15,0.043461387,1.756982037,0.793152457,2141,0.000258807,3,2.197590673,10.15698513,4.63842217,6.381177304,-6.316502682,0.042901384,0.000560003,0.2751,0,0.7249,0.4932,0,0.5068,0.588265692333426,0.535462508840679,0.693054697708884,0.630845572052631
"557",23100552,50019668,50019667,0.099,0.849204261,0.379,0.02,74.76,0.017657,0.1,44.15,0.015651898,1.644943496,0.734176613,379,0.000147827,3,2.315132492,10.1648466,5.204372453,6.866880377,-6.772627558,0.015421196,0.000230702,0.1727,0,0.8273,0.5301,0,0.4699,0.460141681746213,0.418839008531445,0.691334064498134,0.629279384209569
"558",23100554,50019669,50019668,0.3879,0.744724747,0.711,0.04,50.38,0.019452,0.39,31.89,0.070871795,1.50366269,0.659807965,711,0.000308259,3,2.460725192,10.15929917,5.036483127,5.99344104,-6.128018646,0.069625398,0.001246397,0.2854,0,0.7146,0.5717,0,0.4283,0.59798136944482,0.54430609926071,0.682829869141907,0.621538532005434
"559",23100556,50019670,50019669,1.1358,0.673436314,1.164,0.03,46.21,0.019043,1.14,29.71,0.030626893,1.472888034,0.643608527,1164,0.000197738,3,2.574999218,10.18365345,5.114490266,6.415192358,-6.520712684,0.030011952,0.000614941,0.1632,0,0.8368,0.6091,0,0.3909,0.444938317478881,0.405000309998623,0.669148965923214,0.609085637240094
"560",23100558,50019671,50019670,1.9017,0.552481761,2.26,0.04,25.48,0.02237,1.9,15.22,0.03844788,1.182309062,0.490650982,2260,0.000208169,2,2.564421346,10.23811745,5.442313036,6.111006886,-6.446845452,0.03770469,0.00074319,0.0790920907909209,0,0.920907909209079,0.6067,0,0.3933,0.276546323091829,0.251723311257602,0.67020135247616,0.61004356076216
"561",23100560,50019672,50019671,0.1386,0.41604833,0.396,0.04,20.8,0.022596,0.14,12.24,0.039051788,1.087621721,0.440808617,396,0.00018949,2,2.87570263,10.39793025,5.821391673,6.118199395,-6.524038411,0.038000379,0.001051409,0.2597,0,0.7403,0.6992,0,0.3008,0.572742892618741,0.521333047633301,0.611540617306316,0.5566482585478
"562",23100562,50019673,50019672,2.7846,0.373533908,3.454,0.05,15.12,0.025132,2.78,8.94,0.035458168,0.951366665,0.369085468,3454,0.000166953,2,3.090569191,10.39876658,5.697790631,6.134384815,-6.607127255,0.034176192,0.001281975,0.4101,0,0.5899,0.7628,0,0.2372,0.676894922603485,0.616136310858229,0.547830876662032,0.49865715349515
"563",23100564,50019674,50019673,0.6822,0.329873532,1.331,0.04,9.56,0.029289,0.68,5.32,0.013679484,0.72560948,0.250249392,1331,8.77e-05,2,3.618415177,10.60008467,6.958287191,6.531223816,-7.116338565,0.012755459,0.000924024,0.646435356464354,0,0.353564643535646,0.9209,0,0.0791,0.649625409766921,0.591314530583385,0.276565737770954,0.251740983260114
"564",23100566,50019675,50019674,0.234,0.308291344,0.458,0.04,6.03,0.033167,0.23,3.82,0.005869075,0.581608366,0.174448804,458,6.2e-05,2,3.766540359,10.59859805,7.111398531,6.730199669,-7.477555766,0.005387328,0.000481748,0.7962,0,0.2038,0.958,0,0.042,0.505625429272594,0.460240099703948,0.174248983718151,0.158608260180122
"565",23100568,50019676,50019675,0.7335,0.025590463,0.778,0.04,3.74,0.032086,0.73,2.92,0.016597815,0.465992221,0.113589748,778,5.54e-05,2,3.839626377,10.60565751,7.23845458,6.31070629,-7.041914151,0.015113354,0.001484461,0.9202,0,0.0798,0.9652,0,0.0348,0.278280630415364,0.25330194581451,0.151050529785832,0.13749211741383
"566",23100570,50155241,50019676,1.2114,0.004920604,1.767,0.03,1.77,0.016949,1.21,1.21,0.004920604,0.083287569,-0.087861732,1767,2.12e-05,1,4.060377863,10.65551636,5.588759203,6.182870583,-7.590066877,0.0043688,0.000551804,0.9933,0,0.0067,0.9933,0,0.0067,0.0402153446465502,0.0366055842096076,0.0402153446465502,0.0366055842096076
"567",23100572,50019677,50019614,1.5561,9.715174435,1.494,0.02,12.15,0.022222,1.56,13.82,2.941467436,1.140435759,0.468609341,1494,0.001841438,2,0.781818182,10.31243391,0.274818626,4.788236528,-4.475637419,2.931249108,0.010218328,0.0695,0.3302,0.6003,0.0549,0.521,0.4241,0.857545667568028,0.780571705244317,0.862814854239734,0.785367925645322
"568",23100574,50019678,50019677,7.1514,3.286899135,5.021,0.05,5.78,0.027682,7.15,7.87,1.096202013,0.896200926,0.340046835,5021,0.000829799,1,0.781818182,10.18755142,0.284091891,5.19340619,-4.880933623,1.092275747,0.003926266,0.0574,0.4984,0.4442,0.0521,0.4883,0.4596,0.87155418131191,0.79332280396074,0.861252411749534,0.783945729201394
"569",23100576,50155242,50019678,0.7227,2.190697122,0.755,0.11,0.76,0.144737,0.72,0.72,2.190697122,-0.141041945,-0.205946298,755,0.001144801,1,0.781818182,9.840960085,0.233560149,4.081600237,-4.680305544,2.182396894,0.008300227,0,0.3885,0.6115,0,0.3885,0.6115,0.668072387451546,0.60810569328464,0.668072387451546,0.60810569328464
"570",23100578,50019679,50019585,18.9486,27.76135722,14.049,0.05,17.87,0.005036,18.95,23.03,0.979562429,1.362346737,0.585420816,14049,0.002098557,2,0.781818182,11.00927238,0.187960017,5.604497562,-4.882182201,0.976751252,0.002811177,0.0649,0.4987,0.4364,0.065,0.5686,0.3664,0.886327459625964,0.806770021388067,0.866564479106281,0.788780981283989
"571",23100580,50155243,50019679,3.9978,0.919759035,3.631,0.01,3.63,0.002755,4,4,0.919759035,0.601821064,0.185088544,3631,0.00105516,1,1.590379755,11.99536149,0.143248236,5.178450308,-4.981074285,0.916472202,0.003286833,0.0676,0.8901,0.0423,0.0676,0.8901,0.0423,0.419544655997676,0.381886003210747,0.419544655997676,0.381886003210747
"572",23100582,50019680,50019518,1.2681,61.4915007,1.719,0.06,32.46,0.023105,1.27,31.93,11.52890798,1.504238361,0.660110992,1719,0.007664635,3,0.781818182,10.64262516,0.228516685,4.758314709,-3.867346116,11.49231706,0.036590911,0.0681,0.7616,0.1703,0.1077,0.5203,0.372,0.691842990570078,0.629742628683706,0.947793597793699,0.862718911457604
"573",23100584,50019681,50019680,8.4924,26.01763505,6.602,0.04,16.22,0.024044,8.49,16.36,2.18947348,1.213693033,0.507171156,6602,0.00128953,2,0.781818182,10.50626985,0.224855253,5.366244868,-4.617275139,2.182337294,0.007136186,0.1035,0.4616,0.4349,0.1063,0.5543,0.3394,0.953714689718024,0.868108521591588,0.932082139732494,0.848417726022793
"574",23100586,50019682,50019681,0.7398,21.94381246,1.442,0.05,7.52,0.037234,0.74,6.09,5.751449976,0.784702859,0.281355491,1442,0.002081727,2,1.046000432,10.95144279,0.212877321,4.50362163,-4.45782386,5.731666415,0.019783561,0.0341,0.6277,0.3382,0.1059,0.7034,0.1907,0.774169523006027,0.704679467899073,0.801250101800929,0.729329272997952
"575",23100588,50019683,50019682,0.3852,14.89934911,0.669,0.05,4.27,0.039813,0.39,3.96,8.228604064,0.597201389,0.182656798,669,0.002719069,2,1.251581198,10.97529738,0.214983509,4.13057928,-4.250451948,8.196509061,0.032095003,0.1635,0.5818,0.2547,0.1129,0.7615,0.1256,0.959553812711954,0.873423520389762,0.714322040648718,0.650203941842593
"576",23100590,50155244,50019683,2.2356,3.923315908,1.856,0.05,1.86,0.026882,2.24,2.24,3.923315908,0.349394101,0.052213792,1856,0.001479947,1,1.390530099,10.93638099,0.203964627,4.52045593,-4.704620962,3.906471193,0.016844714,0.114,0.7902,0.0958,0.114,0.7902,0.0958,0.658323431826731,0.599231811456289,0.658323431826731,0.599231811456289
"577",23100592,50019684,50019449,1.0602,4.835558062,2.055,0.01,35.2,0.011648,1.06,28.98,0.01437218,1.462084894,0.637921874,2055,0.000172073,2,1.651503701,9.744671352,0.593736424,6.825830091,-6.675717545,0.014255349,0.000116831,0.8999,0.0874,0.0127,0.2525,0.0419,0.7056,0.363380592889215,0.33076326984268,0.726500837622122,0.66128956058091
"578",23100594,50019685,50019684,1.0206,4.821185883,2.869,0.01,33.14,0.01207,1.02,27.92,0.004474267,1.445898303,0.629401433,2869,0.000102401,2,1.459856083,9.778468816,0.537461942,7.362487674,-7.172630727,0.004444084,3.02e-05,0.9101,0.0229,0.067,0.2278,0.0402,0.732,0.353321902721943,0.321607455483944,0.694545467517553,0.632202529210352
"579",23100596,50019686,50019685,0.333,4.816711616,0.729,0.02,30.28,0.01288,0.33,26.9,0.086512373,1.429724833,0.620887898,729,0.0004311,2,1.285973636,9.783107007,0.548098667,5.998287414,-5.797239313,0.086007251,0.000505122,0.7325,0.027,0.2405,0.202,0.0408,0.7572,0.668264104861431,0.608280201991545,0.664217093264972,0.604596453285834
"580",23100600,50019687,50019582,5.5647,2.019002862,2.978,0.03,15.41,0.00584,5.56,22.46,1.295426662,1.35146969,0.579695259,2978,0.001084775,2,0.781818182,9.900496604,0.379494589,5.213231518,-4.700563921,1.290357598,0.005069064,0.1651,0.0097,0.8252,0.1313,0.0437,0.825,0.500889635210956,0.455929394179819,0.562080121408349,0.511627375013054
"581",23100602,50155245,50019687,13.7304,0.464680973,9.021,0.03,9.02,0.003326,13.73,13.73,0.464680973,1.137683189,0.467160418,9021,0.00057712,1,0.781818182,9.945073654,0.373607405,5.660305758,-5.245145701,0.462883063,0.00179791,0.0979,0.066,0.8361,0.0979,0.066,0.8361,0.556563309428031,0.506605756342644,0.556563309428031,0.506605756342644
"582",23100604,50019688,50019555,1.8882,2.576686845,2.172,0.04,19,0.007895,1.89,20.16,1.783850429,1.30445175,0.554945537,2172,0.001301644,2,0.781818182,9.900322427,0.329483623,4.997935719,-4.689839125,1.776947033,0.006903396,0,0.0448,0.9552,0.00459999999999999,0.0406,0.9548,0.182909660967939,0.166491548342034,0.199000427646916,0.181137995359739
"583",23100606,50155246,50019688,5.1768,0.341893578,7.39,0.06,7.39,0.008119,5.18,5.18,0.341893578,0.714061387,0.244170604,7390,0.000474744,1,0.781818182,10.12789534,0.320047397,5.446170837,-5.383833195,0.340639375,0.001254203,0.000100000000000051,9e-04,0.999,0.000100000000000051,9e-04,0.999,0.00823233808562395,0.00749339705238901,0.00823233808562395,0.00749339705238901
"584",23100608,50019689,50019604,3.0951,12.4473249,2.414,0.04,18.26,0.031763,3.1,31.9,2.990872303,1.503821995,0.659891821,2414,0.001509103,2,0.781818182,10.39140024,0.283622396,4.993301935,-4.390585711,2.980623111,0.010249192,0.0431,0.4725,0.4844,0.0343,0.4643,0.5014,0.840872508323212,0.76539514166789,0.818044840051416,0.744616502554476
"585",23100610,50019690,50019689,5.994,7.942356429,2.442,0.05,13.75,0.025455,5.99,27.18,2.62921425,1.434292592,0.623292315,2442,0.001625048,2,0.781818182,10.47646822,0.278699758,5.000693413,-4.421219614,2.620382736,0.008831514,0.0108,0.3668,0.6224,0.0324,0.4431,0.5245,0.711907358050633,0.648006003021963,0.810249542790474,0.73752091720435
"586",23100612,50019691,50019690,9.4455,4.513014546,3.619,0.07,7.05,0.029787,9.45,16.01,1.523486367,1.204345215,0.502250568,3619,0.001395157,2,0.781818182,10.44306119,0.254411648,5.108215618,-4.704689323,1.518381389,0.005104978,0.0307,0.5753,0.394,0.0438,0.513,0.4432,0.791978994504763,0.720890347462716,0.840075641984245,0.764669802667783
"587",23100614,50155247,50019691,3.2337,1.78617707,1.434,0.09,1.43,0.062937,3.23,3.23,1.78617707,0.509699727,0.136596894,1434,0.001063169,1,0.781818182,10.26881657,0.249141506,4.553590324,-4.645616281,1.779977395,0.006199674,0.049,0.4787,0.4723,0.049,0.4787,0.4723,0.854721644217924,0.778001168414142,0.854721644217924,0.778001168414142
"588",23100620,50155248,50019692,0.6525,0.011327993,1.244,0.09,1.24,0.072581,0.65,0.65,0.011327993,-0.185419484,-0.229306142,1244,0.000184336,1,0.781818182,10.66794833,0.923225106,5.345441509,-6.48399377,0.011288962,3.9e-05,0.0676,0,0.9324,0.0676,0,0.9324,0.247386177090553,0.225180602513074,0.247386177090553,0.225180602513074
"589",23100622,50019692,50019694,0.018,0.463377279,0.052,0.04,1.3,0.1,0.02,0.67,0.452049285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0,0.95,0.0670999999999999,0,0.9329,0.198515243345873,0.180696361576785,0.246072112401502,0.223984489286776
"590",23100624,50155249,50019693,0.8838,0.092653007,1.896,0.11,1.9,0.057895,0.88,0.88,0.092653007,-0.053646003,-0.159942044,1896,0.000297923,1,0.781818182,10.63995754,0.728294628,5.058734342,-5.908629135,0.092333408,0.000319599,0.0162999999999999,0,0.9837,0.0162999999999999,0,0.9837,0.0832668470581323,0.0757927504698495,0.0832668470581323,0.0757927504698495
"591",23100626,50019693,50019695,0,103.8880174,0.041,0,1.94,0.056701,0,0.88,103.7953644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3871,0,0.6129,0.0162999999999999,0,0.9837,0.66743318999917,0.607523870689928,0.0832668470581323,0.0757927504698495
"592",23100628,50019694,50019702,0.0234,0.913258385,0.076,0.03,1.37,0.116788,0.02,0.69,0.449881107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1154,0,0.8846,0.0688,0,0.9312,0.357658495338881,0.325554792193781,0.250523800849169,0.228036590736564
"593",23100630,50019695,50019700,0.0279,103.8880174,0.041,0.16,1.98,0.136364,0.03,0.91,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3871,0,0.6129,0.0276,0,0.9724,0.66743318999917,0.607523870689928,0.12629789710441,0.114961300184914
"594",23100632,50155250,50020734,2.124,0.053657761,2.814,0.08,2.81,0.02847,2.12,2.12,0.053657761,0.327154512,0.04050712,2814,0.000341423,1,0.781818182,10.42942959,0.993373702,5.490246473,-6.120044415,0.053463198,0.000194563,0.1203,0,0.8797,0.1203,0,0.8797,0.367522294492051,0.334533209106565,0.367522294492051,0.334533209106565
"595",23100634,50155251,50019696,1.4976,0.012508571,1.741,0.13,1.74,0.074713,1.5,1.5,0.012508571,0.175395831,-0.039376965,1741,0.000200081,1,0.781818182,10.65694268,1.121580666,5.359490462,-6.446238302,0.012465148,4.34e-05,0.0072,0,0.9928,0.0072,0,0.9928,0.042696472188392,0.0388640038244562,0.042696472188392,0.0388640038244562
"596",23100640,50019696,50019697,0.1107,0.015382069,0.291,0.08,2.03,0.103448,0.11,1.61,0.002873498,0.206367062,-0.023074053,291,9.32e-05,1,0.781818182,10.53535868,1.201809434,6.095346151,-7.086716098,0.002863239,1.03e-05,0.3659,0,0.6341,0.0319,0,0.9681,0.656737478733465,0.597788214739208,0.141285958412245,0.128604021518393
"597",23100642,50019697,50232905,0.1764,0.039485895,0.12,0.16,2.15,0.172093,0.18,1.78,0.024103826,0.251565224,0.000717757,120,0.000262671,1,0.781818182,10.37406925,1.307778084,5.140582213,-6.152921138,0.024014525,8.93e-05,0.3214,0,0.6786,0.0605000000000001,0,0.9395,0.627920237885622,0.571557631716349,0.228341079584529,0.207845007688159
"598",23100654,50155252,50019712,2.9871,0.417979553,2.88,0.09,2.88,0.03125,2.99,2.99,0.417979553,0.475249762,0.118462815,2880,0.0006521,1,0.781818182,10.64038706,0.524184384,5.07357233,-5.394497293,0.416559219,0.001420334,0.00900000000000006,0,0.991,0.00900000000000006,0,0.991,0.0513541542650932,0.0467445656623337,0.0513541542650932,0.0467445656623337
"599",23100656,50155253,50019712,2.2266,0.258792191,2.738,0.09,2.74,0.032847,2.23,2.23,0.258792191,0.347642205,0.051291614,2738,0.000603026,1,0.781818182,10.70368697,0.522364892,5.055864295,-5.484687899,0.257925259,0.000866932,0,0,1,0,0,1,0,0,0,0
"600",23100660,50155254,50019698,2.3139,0.093793323,2.987,0.08,2.99,0.026756,2.31,2.31,0.093793323,0.364344586,0.060083562,2987,0.00031822,1,1.539086668,11.09021221,1.268933772,5.559994456,-6.195656082,0.093310887,0.000482436,0.2999,0,0.7001,0.2999,0,0.7001,0.610779548457819,0.555955503827734,0.610779548457819,0.555955503827734
"601",23100662,50019698,50019699,0.0324,0.943650713,0.039,0.02,3.03,0.033003,0.03,2.35,0.84985739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.3096,0,0.6904,0,0,0.618780242610328,0.563238049485591
"602",23100664,50019699,50019709,0.0405,2.18963634,0.06,0.07,3.09,0.055016,0.04,2.39,1.245985627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.3213,0,0.6787,0,0,0.627845480419417,0.571489584538125
"603",23100670,50019700,50019714,0.7794,103.8997497,1.535,0.04,3.51,0.088319,0.78,1.69,0.011732312,0.22816929,-0.011597603,1535,0.000156038,1,1.718135319,10.17128318,1.663400491,5.887996387,-6.801342913,0.011641192,9.11e-05,0.7102,0,0.2898,0.3422,0,0.6578,0.601972508635523,0.547938990711015,0.642483952067167,0.584814095649772
"604",23100672,50019701,50019714,5.9715,0.737378403,2.011,0.03,4.93,0.030426,5.97,8.13,0.123949343,0.910266792,0.347450951,2011,0.000578177,1,1.137535388,10.54430608,1.039476256,5.352354061,-5.567287195,0.123398925,0.000550418,0.2383,0,0.7617,0.2097,0,0.7903,0.5491124379206,0.499823680824024,0.513558921650158,0.467461475670153
"605",23100676,50019702,50019703,0.7056,0.919300459,1.554,0.05,2.93,0.071672,0.71,1.4,0.006042074,0.145972903,-0.054864868,1554,0.000102715,1,2.176373902,10.47739258,1.795464903,6.089662782,-7.247951552,0.005975572,6.65e-05,0.861,0,0.139,0.4682,0,0.5318,0.403144033964695,0.366957513695247,0.691123334873955,0.629087569839429
"606",23100678,50019703,50019704,0.0468,1.293607049,0.054,0,2.98,0.07047,0.05,1.45,0.374306589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.4854,0,0.5146,0,0,0.69272079995636,0.630541645220601
"607",23100680,50019704,50019708,0.0504,1.648680828,0.084,0,3.06,0.068627,0.05,1.5,0.35507378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.5027,0,0.4973,0,0,0.693132600489086,0.630916482219034
"608",23100682,50155255,50019718,5.7177,0.544567865,4.139,0.07,4.14,0.016908,5.72,5.72,0.544567865,0.757221365,0.266889537,4139,0.00070274,1,0.781818182,10.53031218,0.531287552,5.307233178,-5.207008562,0.542672376,0.001895489,0.0123999999999999,0,0.9876,0.0123999999999999,0,0.9876,0.0667595294433768,0.0607671424505109,0.0667595294433768,0.0607671424505109
"609",23100684,50155256,50019718,2.8881,0.461427518,3.407,0.08,3.41,0.02346,2.89,2.89,0.461427518,0.460612227,0.110757779,3407,0.000639989,1,0.781818182,10.35021358,0.600693707,5.120329193,-5.299177167,0.459748777,0.001678741,0.00219999999999999,0,0.9978,0.00219999999999999,0,0.9978,0.0156600336443378,0.0142543769133723,0.0156600336443378,0.0142543769133723
"610",23100686,50019705,50019707,0.1386,1.743794024,0.048,0.05,4.76,0.058824,0.14,6.87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.573,0,0.427,0,0,0.682450989655969,0.621193661035168
"611",23100688,50019706,50019705,0.0207,1.743794024,0.057,0,4.71,0.048832,0.02,6.73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.5642,0,0.4358,0,0,0.684881099300046,0.623405642158212
"612",23100690,50155257,50019717,3.1689,0.084180936,3.513,0.03,3.51,0.008547,3.17,3.17,0.084180936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7447,0,0.2553,0.7447,0,0.2553,0.568083231663714,0.517091641449254,0.568083231663714,0.517091641449254
"613",23100692,50019707,50019717,4.4415,1.745004162,2.979,0.02,7.74,0.03876,4.44,11.31,0.001210138,1.053370437,0.422779121,2979,0.000100115,1,2.750751856,10.04327739,1.795763757,6.727852311,-7.966576245,0.001177428,3.27e-05,0.7639,0,0.2361,0.648,0,0.352,0.546542627943048,0.49748453897748,0.648675933935333,0.590450280436739
"614",23100694,50019708,50019706,5.2101,1.743794024,1.59,0.02,4.65,0.049462,5.21,6.71,0.095113195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5801,0,0.4199,0.5628,0,0.4372,0.680259702327026,0.619199065351555,0.685238630081531,0.623731080700247
"615",23100696,50155258,50019710,0.8784,0.00187181,1.568,0.03,1.57,0.019108,0.88,0.88,0.00187181,-0.056307673,-0.161343118,1568,3e-05,1,4.063732039,8.494595789,2.794508559,6.190039809,-8.040958608,0.00141525,0.00045656,0.9949,0,0.0051,0.9949,0,0.0051,0.0320073980051347,0.0291343892065312,0.0320073980051347,0.0291343892065312
"616",23100698,50019709,50019715,1.8477,2.218748376,3.189,0.03,6.28,0.031847,1.85,4.23,0.029112035,0.626802137,0.198238303,3189,0.000192834,1,2.740010871,9.898598902,1.643075656,6.032187593,-6.598427154,0.028283203,0.000828833,0.9742,0,0.0258,0.6062,0,0.3938,0.119824704549372,0.10906914639981,0.67041755957571,0.610240360945245
"617",23100700,50019710,50019715,0.4995,0.00344539,1.018,0.03,2.59,0.023166,0.5,1.38,0.00157358,0.1392177,-0.058420732,1018,3.37e-05,1,4.029641676,8.37128321,2.562499162,6.233221094,-8.107905397,0.001183918,0.000389662,0.991,0,0.009,0.9935,0,0.0065,0.051354154265093,0.0467445656623335,0.0392125242433523,0.0356927777413551
"618",23100704,50155259,50019711,2.6703,1.193499261,1.937,0.11,1.94,0.056701,2.67,2.67,1.193499261,0.426560056,0.092833095,1937,0.000922048,1,0.781818182,10.49198914,0.311938903,4.741622113,-4.918374253,1.1894613,0.00403796,0.0556,0.3067,0.6377,0.0556,0.3067,0.6377,0.810037548346761,0.737327951545855,0.810037548346761,0.737327951545855
"619",23100706,50019711,50019726,0.0909,66.32191102,0.195,0.07,18.72,0.049145,0.09,21.07,30.96425307,1.323625371,0.565038319,195,0.008751474,2,0.781818182,10.50677792,0.225174558,3.756670808,-3.505778092,30.86331067,0.1009424,0.0792,0.4059,0.5149,0.0927,0.4324,0.4749,0.908594449455813,0.827038308990097,0.936637201126816,0.852563921583598
"620",23100708,50019712,50019713,2.9709,0.927095397,2.052,0.04,7.67,0.028683,2.97,8.18,0.250323653,0.912997459,0.348888344,2052,0.000766578,2,0.781818182,10.35683354,0.583288638,5.366422547,-5.459858301,0.249417795,0.000905857,0.1012,0,0.8988,0.04,0,0.96,0.327711671156893,0.298296018110439,0.167944147734173,0.152869351150057
"621",23100710,50019713,50019720,0.3222,3.19048857,0.507,0.03,18.74,0.023479,0.32,18.76,0.406378715,1.273202738,0.538496404,507,0.001267379,3,0.781818182,10.42159752,0.566889918,4.918826462,-4.887958338,0.404926769,0.001451946,0.5279,0,0.4721,0.0335,0,0.9665,0.691589551655894,0.629511938642462,0.146705531637633,0.133537129659718
"622",23100712,50155260,50019723,1.2663,0.095004708,1.647,0.07,1.65,0.042424,1.27,1.27,0.095004708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0633,0,0.9367,0.0633,0,0.9367,0.235952659143464,0.214773365979292,0.235952659143464,0.214773365979292
"623",23100714,50155261,50019723,1.9953,0.005357328,3.538,0.08,3.54,0.022599,2,2,0.005357328,0.300008203,0.026217604,3538,0.000145667,1,0.781818182,10.4003341,1.440476104,5.769778436,-6.759201229,0.005337644,1.97e-05,0.0415,0,0.9585,0.0415,0,0.9585,0.172682276109273,0.157182181457867,0.172682276109273,0.157182181457867
"624",23100716,50019714,50019716,4.3011,104.7188955,1.78,0.02,10.22,0.046967,4.3,14.13,0.081767398,1.150003829,0.473645866,1780,0.000402271,2,1.428808015,10.50863483,1.250056032,5.819934175,-5.958844267,0.081315506,0.000451893,0.3848,0,0.6152,0.2789,0,0.7211,0.666365140319778,0.606551689975758,0.591911406278201,0.538780980682273
"625",23100718,50019715,50019716,0.171,2.231798134,0.563,0.02,9.42,0.029724,0.17,5.78,0.009604368,0.762183231,0.269501408,563,0.000106835,2,3.491854817,9.596744588,1.887540041,6.58592898,-7.243363892,0.008682743,0.000921625,1,0,0,0.7101,0,0.2899,0,0,0.60206211990269,0.548020558401539
"626",23100720,50019716,50019722,0.2358,107.1120441,0.562,0.02,20.2,0.038614,0.24,20.14,0.161350492,1.304160804,0.554792387,562,0.000434329,3,2.492344703,10.31949185,1.534759439,5.830608123,-5.836928118,0.158608041,0.002742451,1,0,0,0.4111,0,0.5889,0,0,0.677256408296407,0.616465349315791
"627",23100722,50019717,50140769,8.7903,1.895223542,1.132,0.01,12.38,0.027464,8.79,23.27,0.066038445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5251,0.0111,0.4638,0.6147,0.0042,0.3811,0.744549252637558,0.6777179359064,0.689755787789626,0.627842774839014
"628",23100724,50019718,50019713,1.6461,1.857014458,3.014,0.04,10.56,0.017992,1.65,10.25,0.851019076,1.010804361,0.400372812,3014,0.000931852,2,0.781818182,10.3724294,0.542660579,5.337014575,-5.170822602,0.847954292,0.003064783,0.0322999999999999,0,0.9677,0.0126999999999999,0,0.9873,0.142648470095803,0.129844233099505,0.0680691581443742,0.061959217866475
